Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1262,Wexford Assurance - DevOps & Platform Engineering,ACC-10009,Wexford Assurance GmbH,"Schneider, Lukas",CLOUD,DevOps & Platform Engineering,Closed Lost,0,140500,EUR,2024-12-30,2025-06-04,2025-07-05,Timing / Postponed,Outbound - SDR,2025-07-05,2025-07-05 18:37:22
OPP-1166,Rhein Telecom - Analytics & BI,ACC-10534,Rhein Telecom SA,Hugo Laurent,Data & AI,Analytics & BI,Closed Lost,0%,119500,EUR,2024-12-12,2025-03-19,2025-06-18,No Decision / Stalled,Hyperscaler Co-sell,2025-06-18,2025-06-18 17:00:00
OPP-1133,Dunmore Renewables - Security Assessment,ACC-10560,Dunmore Renewables SE,Felix Wagner,Cybersecurity,Security Assessment,closed won,100,22500,EUR,2024-12-04,2025-05-16,2025-05-23,,Hyperscaler Co-sell,2025-05-23,2025-05-23 21:48:42
OPP-1182,Tauern Biotech - AI & GenAI Solutions,ACC-10449,Tauern Biotech NV,"de Vries, Emma",Data & AI,AI & GenAI Solutions,Closed Won,100,"72,000.00",EUR,2024-12-16,2025-03-31,2025-09-11,,Hyperscaler Co-sell,2025-09-11,2025-09-11 17:00:00
OPP-1222,Danubia Automotive - Application Support,ACC-10541,Danubia Automotive GmbH,julia hoffmann,ERP & Business Apps,Application Support,5 - Closed Won,100,106000,EUR,2024-12-23,2025-04-16,2025-09-23,,Existing Customer (Upsell),23/09/2025,2025-09-23 17:00:00
OPP-1194,Delta Components - Analytics & BI,ACC-10567,Delta Components SAS,Hugo Laurent,Data & AI,Analytics & BI,Closed Lost,0,"22,000.00",EUR,2024-12-18,2025-04-14,2024-12-23,No Decision / Stalled,Existing Customer (Upsell),2024-12-23,2024-12-23 20:43:17
OPP-1130,Nordwind Foods - Salesforce Implementation,ACC-10309,Nordwind Foods Ltd,Grace Thompson,ERP & Apps,Salesforce Implementation,Closed Lost,0%,431000.00,€,2024-12-04,2025-03-26,2025-04-23,Scope Reduced / In-house,Co-sell,2025-04-23,2025-04-23 19:16:28
OPP-1140,Aurora Grid - Security Assessment,ACC-10688,Aurora Grid s.r.o.,J. Kowalski,Cyber,,Closed Won,100,2529000,CZK,2024-12-06,2025-02-06,2025-06-01,,Inbound - Website,2025-06-01,2025-06-01 17:00:00
OPP-1128,Isola Industries - Analytics & BI,ACC-10122,Isola Industries Ltd,Niamh Walsh,Data and AI,Analytics & BI,Closed - Lost,0,51400,GBP,2024-12-04,2025-02-24,2025-01-17,No Budget,Hyperscaler Co-sell,2025-01-17,2025-01-17 17:00:00
OPP-1172,Corvina Industries - Data Platform Modernisation,ACC-10544,Corvina Industries N.V.,Emma de Vries,Data & AI,Data Platform Modernisation,Won,100,304 500,EUR,2024-12-13,2025-03-26,2026-03-19,,Existing Customer (Upsell),2026-03-19,2026-03-19 17:00:00
OPP-1189,Gallway Freight - Salesforce Implementation,ACC-10039,Gallway Freight SAS,Camille Bernard,ERP & Business Apps,Salesforce Implementation,Lost,0,627000,eur,2024-12-18,2025-05-10,2025-01-01,,Partner Referral,2025-01-01,2025-01-01 23:33:13
OPP-1219,Nordwind Stores - Application Support,ACC-10058,NORDWIND STORES SAS,Camille Bernard,ERP and Business Applications,Application Support,Closed Lost,0,156000,eur,2024-12-23,2025-02-14,28/01/2025,Not a Fit,Hyperscaler Co-sell,2025-01-28,2025-01-28 18:53:18
OPP-1183,Arcadia Renewables - DevOps & Platform Engineering,ACC-10625,Arcadia Renewables SA,Chloé Martin,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0,104500,EUR,2024-12-16,2025-03-29,2025-04-26,Stalled,Partner Referral,2025-04-26,2025-04-26 22:23:42
OPP-1200,Cygnus Industries - Cloud Migration,ACC-10593,Cygnus Industries plc,O. Hughes,Cloud & Infrastructure,Cloud Migration,5 - Closed Won,100,45200,GBP,2024-12-19,2025-04-13,2025-03-14,,Hyperscaler Co-sell,2025-03-14,2025-03-14 17:00:00
OPP-1199,Saxon Precision - Application Support,ACC-10156,Saxon Precision SA,Julia Hoffmann,ERP & Business Apps,Application Support,Lost,0,273700,CHF,2024-12-19,2025-04-15,2025-02-13,no budget,Referral,2025-02-13,2025-02-13 17:00:00
OPP-1138,Alpenkraft Utilities - Managed SOC,ACC-10161,ALPENKRAFT UTILITIES AS,sara andersson,Cybersecurity,Managed SOC,Closed Won,100,2745600,NOK,2024-12-05,2025-01-04,2025-03-13,,Inbound - Website,2025-03-13,2025-03-13 20:22:01
OPP-1218,Delta Medical - Managed SOC,ACC-10016,Delta Medical Ltd,Tom Barker,Cybersecurity,Managed SOC,Closed Won,100,210500,GBP,2024-12-23,2025-03-31,2025-05-18,,Outbound - SDR,2025-05-18,2025-05-18 20:45:34
OPP-1171,Estrella Motorenwerk - Identity & Access Management,ACC-10542,Estrella Motorenwerk Ltd,Tom Barker,Cybersecurity,Identity & Access Management,Closed Won,100%,104400,GBP,2024-12-13,2025-04-22,2025-08-13,,Partner,2025-08-13,2025-08-13 17:00:00
OPP-1127,Noord Components - Managed Cloud Services,ACC-10460,Noord Components Sp. z o.o.,Tomáš Novák,Cloud & Infrastructure,Managed Cloud Services,Lost,0,2242100,PLN,2024-12-04,2025-03-19,2025-01-23,No Budget,Existing Customer (Upsell),2025-01-23,2025-01-23 17:00:00
OPP-1225,Juniper Retail - Analytics & BI,ACC-10197,Juniper Retail SA,Hugo Laurent,Data and AI,Analytics & BI,closed lost,0,"248,500.00",EUR,2024-12-24,25/02/2025,2025-01-02,No Budget,Co-sell,2025-01-02,2025-01-02 17:00:00
OPP-1121,Aurora Stores - Security Assessment,ACC-10276,Aurora Stores S.r.l.,isabel ferreira,Cybersecurity,Security Assessment,Lost,0%,27500,EUR,2024-12-03,2025-02-18,2024-12-09,No Budget,Inbound - Website,2024-12-09,2024-12-09 17:00:00
OPP-1206,Moselle Telecom - Managed SOC,ACC-10561,Moselle Telecom S.p.A.,Isabel Ferreira,Cybersecurity,Managed SOC,Closed Lost,0,"776,000.00",EUR,2024-12-20,2025-06-23,2025-06-02,Timing / Postponed,Event / Webinar,2025-06-02,2025-06-02 17:00:00
OPP-1117,Vektor Components - Application Support,ACC-10637,Vektor Components SA,Camille Bernard,ERP,Application Support,5 - Closed Won,100%,211000,EUR,2024-12-02,2025-02-12,2025-05-01,,Partner Referral,2025-05-01,2025-05-01 17:00:00
OPP-1232,Solvik Agency - Application Support,ACC-10611,Solvik Agency S.p.A.,Paolo Conti,ERP & Apps,Application Support,Closed Lost,0%,538000,EUR,2024-12-25,2025-06-08,2025-09-10,no budget,Inbound - Website,2025-09-10,2025-09-10 17:00:00
OPP-1205,Fontaine Public Services - AI & GenAI Solutions,ACC-10707,Fontaine Public Services SA,Hugo Laurent,Data & AI,AI & GenAI Solutions,Won,100%,216000,EUR,2024-12-20,2025-04-30,2025-08-02,,Hyperscaler Co-sell,2025-08-02,2025-08-02 17:00:00
OPP-1178,Valora Medical - Managed Cloud Services,ACC-10203,Valora Medical AG,Lukas Schneider,Cloud & Infrastructure,Managed Cloud Services,Closed Lost,0,"84,500.00",EUR,2024-12-14,2025-06-19,2025-03-07,Price,Event / Webinar,2025-03-07,2025-03-07 17:00:00
OPP-1203,Riviera Renewables - Salesforce Implementation,ACC-10627,Riviera Renewables AB,Sven Johansson,ERP and Business Applications,Salesforce Implementation,Won,100,3487800,SEK,2024-12-20,2025-03-18,2025-02-12,,Partner Referral,2025-02-12,2025-02-12 17:00:00
OPP-1158,Stellaris Biotech - SAP S/4HANA Implementation,ACC-10478,Stellaris Biotech Ltd,Grace Thompson,ERP & Apps,SAP S/4HANA Implementation,Closed Lost,0,1180800,GBP,2024-12-10,2025-05-29,2025-03-19,lost to competitor,Outbound - SDR,2025-03-19,2025-03-19 17:00:00
OPP-1142,Invicta Logistics - SAP S/4HANA Implementation,ACC-10657,Invicta Logistics plc,Grace Thompson,ERP,SAP S/4HANA Implementation,Closed Lost,0,328500,GBP,2024-12-06,2025-03-13,2025-01-01,No Budget,Event / Webinar,2025-01-01,2025-01-01 17:34:33
OPP-1151,Valora Stores - Salesforce Implementation,ACC-10685,Valora Stores AG,Lena Fischer,ERP,Salesforce Implementation,Closed Lost,0%,94000,EUR,2024-12-08,2025-06-28,2025-02-08,,Inbound - Website,2025-02-08,2025-02-08 17:00:00
OPP-1227,Tamsin Stores - AI & GenAI Solutions,ACC-10664,Tamsin Stores S.r.l.,Marco Rossi,Data&AI,AI & GenAI Solutions,closed won,100%,198000.00,EUR,2024-12-24,2025-06-18,2025-03-27,,Outbound - SDR,2025-03-27,2025-03-27 23:59:48
OPP-1150,Stellaris Precision - Managed SOC,ACC-10383,STELLARIS PRECISION AG,felix wagner,cybersecurity,Managed SOC,Closed Lost,0,1141000,eur,2024-12-08,2025-03-19,2025-01-01,No Budget,Inbound - Website,2025-01-01,2025-01-01 20:49:46
OPP-1244,Cygnus Logistics - Analytics & BI,ACC-10227,Cygnus Logistics s.r.o.,Katarzyna Nowak,Data and AI,Analytics & BI,Closed Lost,0,438 700,CZK,2024-12-28,2025-04-25,2025-01-24,Not a Fit,Partner Referral,2025-01-24,2025-01-24 23:01:45
OPP-1113,Silverline Medical - Salesforce Implementation,ACC-10371,Silverline Medical Oy,Sven Johansson,ERP & Business Apps,Salesforce Implementation,Closed Lost,0%,422500,EUR,2024-12-01,2025-04-17,2025-02-26,Stalled,Outbound - SDR,2025-02-26,2025-02-26 17:00:00
OPP-1197,Lindholm Public Services - Identity & Access Management,ACC-10644,Lindholm Public Services DAC,Tom Barker,Cybersecurity,Identity & Access Management,Closed - Lost,0%,163500.00,eur,2024-12-18,2025-04-16,2025-06-21,PRICE,Hyperscaler Co-sell,2025-06-21,2025-06-21 22:47:21
OPP-1234,Iberia Power - AI & GenAI Solutions,ACC-10076,Iberia Power SA,Hugo Laurent,Data & AI,AI & GenAI Solutions,Closed Lost,0,96000,EUR,2024-12-25,2025-06-13,2025-03-13,Not a Fit,Existing Customer,2025-03-13,2025-03-13 17:13:54
OPP-1193,Vektor Shipping - SAP S/4HANA Implementation,ACC-10306,Vektor Shipping SAS,Camille Bernard,ERP and Business Applications,SAP S/4HANA Implementation,Closed - Lost,0%,649500,EUR,2024-12-18,2025-05-18,2025-04-29,Lost to Competitor,Inbound - Website,2025-04-29,2025-04-29 17:00:00
OPP-1124,Vektor Invest - Managed SOC,ACC-10150,Vektor Invest Sp. z o.o.,Jan Kowalski,Cyber Security,Managed SOC,5 - Closed Won,100,2952100,PLN,2024-12-03,2025-05-22,24/03/2025,,Outbound,2025-03-24,2025-03-24 17:00:00
OPP-1256,Solvik Consumer - SAP S/4HANA Implementation,ACC-10633,Solvik Consumer SAS,Camille Bernard,ERP & Apps,SAP S/4HANA Implementation,Lost,0%,"516,500.00",EUR,2024-12-30,2025-04-24,2025-03-22,No Decision / Stalled,Existing Customer (Upsell),2025-03-22,2025-03-22 17:00:00
OPP-1181,Fjordline Energy - AI & GenAI Solutions,ACC-10311,Fjordline Energy SA,Anna Müller,DATA & AI,AI & GenAI Solutions,5 - Closed Won,100,363200,CHF,2024-12-15,2025-05-02,2025-02-24,,Partner Referral,2025-02-24,2025-02-24 17:00:00
OPP-1257,Olympia Components - Managed SOC,ACC-10307,Olympia Components Sp. z o.o.,Jan Kowalski,Cybersecurity,,Closed Won,100%,1366100,PLN,2024-12-30,2025-03-26,,,Event / Webinar,2025-05-09,2025-05-09 17:00:00
OPP-1180,Falkner Broadcast - Application Support,ACC-10603,Falkner Broadcast SA,Julia Hoffmann,ERP & Business Apps,Application Support,closed lost,0%,384600,CHF,2024-12-15,2025-04-19,2024-12-19,Stalled,Partner Referral,2024-12-19,2024-12-19 17:00:00
OPP-1188,Lusitania Health - Cloud Migration,ACC-10433,Lusitania Health SAS,Chloé Martin,Cloud & Infra,Cloud Migration,5 - Closed Won,100,"231,500.00",EUR,2024-12-18,2025-06-13,2025-05-23,,Hyperscaler Co-sell,2025-05-23,2025-05-23 20:04:42
OPP-1176,Nordwind Utilities - DevOps & Platform Engineering,ACC-10553,Nordwind Utilities NV,Pieter Janssens,Cloud and Infrastructure,DevOps & Platform Engineering,Proposal,80%,114000,,2024-12-14,2025-04-08,,,Inbound - Website,2025-02-24,2025-02-21 01:41:32
OPP-1175,Hansa Networks - Analytics & BI,ACC-10587,Hansa Networks plc,"Walsh, Niamh",Data & AI,Analytics & BI,closed lost,0,52600,GBP,2024-12-14,2025-06-02,2025-07-20,Timing,Co-sell,2025-07-20,2025-07-20 19:37:35
OPP-1130,Nordwind Foods - Salesforce Implementation,ACC-10309,Nordwind Foods Ltd,Grace Thompson,ERP & Apps,Salesforce Implementation,Closed Lost,0%,431000.00,€,2024-12-04,2025-03-26,2025-04-23,Scope Reduced / In-house,Co-sell,2025-04-23,2025-04-23 19:16:28
OPP-1246,Elbe Automotive - Managed Cloud Services,ACC-10264,Elbe Automotive S.A.,Tomáš Novák  ,Cloud & Infrastructure,Managed Cloud Services,Closed - Lost,0%,918 000,PLN,2024-12-28,22/05/2025,2025-02-20,No Budget,Inbound - Website,2025-02-20,2025-02-20 17:00:00
OPP-1148,Dunmore Connect - AI & GenAI Solutions,ACC-10107,Dunmore Connect plc,Ethan Clarke,Data & AI,AI & GenAI Solutions,closed lost,0,94900,gbp,2024-12-07,2025-03-22,2025-06-11,,Partner Referral,2025-06-11,2025-06-11 17:00:00
OPP-1247,Borealis Clinics - AI & GenAI Solutions,ACC-10397,Borealis Clinics B.V.,Emma de Vries,Data&AI,AI & GenAI Solutions,Closed - Lost,0,329500,EUR,2024-12-29,2025-03-11,2025-02-14,Not a Fit,Hyperscaler Co-sell,2025-02-14,2025-02-14 17:00:00
OPP-1272,Gallway Consumer - Analytics & BI,ACC-10513,Gallway Consumer Ltd,Ethan Clarke,Data & AI,Analytics & BI,Closed Lost,,"104,400.00",GBP,2024-12-31,2025-03-26,2025-03-05,No Budget,Partner,2025-03-05,2025-03-05 22:16:35
OPP-1134,Jadeport Invest - Security Assessment,ACC-10720,Jadeport Invest Ltd,T. Barker,Cybersecurity,Security Assessment,Closed - Lost,0%,15300,GBP,2024-12-05,2025-04-22,2025-03-07,Too expensive,Hyperscaler Co-sell,2025-03-07,2025-03-07 17:00:00
OPP-1215,Alpenkraft Utilities - Application Support,ACC-10161,ALPENKRAFT UTILITIES AS,Sven Johansson,ERP & Business Apps,Application Support,Contracting,90,"1,952,400.00",NOK,2024-12-22,2025-05-11,,,Hyperscaler Co-sell,2025-08-24,2025-08-21 16:45:48
OPP-1159,Meridian Grid - SAP S/4HANA Implementation,ACC-10558,Meridian Grid AB,Sven Johansson,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0,13730300,SEK,2024-12-10,2025-03-24,2025-06-22,Too expensive,Existing Customer (Upsell),2025-06-22,2025-06-22 17:00:00
OPP-1251,Olympia Components - AI & GenAI Solutions,ACC-10307,Olympia Components Sp. z o.o.,Katarzyna Nowak,Data & AI,AI & GenAI Solutions,Closed Lost,0%,"PLN 842,000",PLN,2024-12-29,2025-04-04,2025-01-27,No fit,Inbound - Website,2025-01-27,2025-01-27 19:55:17
OPP-1239,Karlsson Industries - Salesforce Implementation,ACC-10540,Karlsson Industries DAC,Grace Thompson,ERP & Business Apps,Salesforce Implementation,closed lost,0,"-119,000.00",EUR,2024-12-27,2025-05-06,2025-02-13,No decision,Inbound - Website,2025-02-13,2025-02-13 17:00:00
OPP-1259,Oakridge Networks - Data Platform Modernisation,ACC-10450,Oakridge Networks Ltd,Ethan Clarke,Data & AI,Data Platform Modernisation,Closed Lost,0,"102,300.00",GBP,2024-12-30,2025-04-19,2025-02-06,Not a Fit,Partner Referral,2025-02-06,2025-02-06 17:00:00
OPP-1266,Borealis Consumer - SAP S/4HANA Implementation,ACC-10100,Borealis Consumer ApS,Sven Johansson,ERP & Apps,SAP S/4HANA Implementation,Closed Lost,0%,4506800,DKK,2024-12-30,2025-05-11,2025-01-12,,AWS/Azure Co-sell,2025-01-12,2025-01-12 22:26:36
OPP-1163,Rhein Automotive - DevOps & Platform Engineering,ACC-10196,Rhein Automotive S.r.l.,Mateo López,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Won,100%,52000,EUR,2024-12-12,2025-04-22,2025-03-07,,Outbound - SDR,2025-03-07,2025-03-07 19:25:44
OPP-1185,Jadeport Clinics - Data Platform Modernisation,ACC-10326,Jadeport Clinics S.r.l.,Marco Rossi,DATA & AI,Data Platform Modernisation,Closed Lost,0,"269,000.00",EUR,2024-12-17,2025-06-23,2025-03-10,Timing / Postponed,Inbound - Website,2025-03-10,2025-03-10 17:00:00
OPP-1116,Kestrel Media - AI & GenAI Solutions,ACC-10711,KESTREL MEDIA S.L.,Marco Rossi,Data & AI,AI & GenAI Solutions,Closed Lost,0%,103500,EUR,2024-12-01,2025-06-22,2025-01-22,No Budget,Website,2025-01-22,2025-01-22 19:22:05
OPP-1152,Fontaine Automotive - Identity & Access Management,ACC-10502,Fontaine Automotive Lda,Isabel Ferreira,cybersecurity,Identity & Access Management,5 - Closed Won,100%,199500,EUR,2024-12-09,2025-05-17,,,Hyperscaler Co-sell,2025-02-18,2025-02-18 17:00:00
OPP-1161,Brightwater Industries - Identity & Access Management,ACC-10669,Brightwater Industries A/S,"Andersson, Sara",Cybersecurity,Identity & Access Management,Closed - Lost,0,572800,DKK,2024-12-11,2025-01-10,2025-02-16,Not a Fit,Hyperscaler Co-sell,2025-02-16,2025-02-16 17:00:00
OPP-1144,Tauern Retail - Salesforce Implementation,ACC-10111,Tauern Retail Lda,Paolo Conti,ERP & Business Apps,Salesforce Implementation,Lost,0,232000,EUR,2024-12-06,2025-04-10,2025-03-08,Price,Outbound - SDR,2025-03-08,2025-03-08 19:10:42
OPP-1176,Nordwind Utilities - DevOps & Platform Engineering,ACC-10553,Nordwind Utilities NV,Pieter Janssens,Cloud & Infra,DevOps & Platform Engineering,Closed - Lost,0%,"114,000.00",,2024-12-14,2025-04-08,2025-02-24,Timing,Inbound - Website,2025-02-24,2025-02-24 17:00:00
OPP-1139,Saxon Assurance - Salesforce Implementation,ACC-10640,Saxon Assurance Sp. z o.o.,"Fischer, Lena",ERP,Salesforce Implementation,closed won,100,1426100,PLN,2024-12-05,2025-04-01,2025-07-04,,Event / Webinar,2025-07-04,2025-07-04 19:04:03
OPP-1241,Quadra Retail - Analytics & BI,ACC-10503,Quadra Retail SAS,Hugo Laurent,Data & AI,Analytics & BI,closed lost,0,41500,EUR,2024-12-28,2025-07-01,2025-01-30,No Decision / Stalled,Event / Webinar,2025-01-30,2025-01-30 17:00:00
OPP-1195,Kronberg Connect - Analytics & BI,ACC-10689,Kronberg Connect Ltd,Niamh Walsh,Data & AI,Analytics & BI,Won,100%,283400,GBP,2024-12-18,2025-03-27,2025-02-27,,Webinar,27/02/2025,2025-02-27 20:49:49
OPP-1131,Fontaine Automotive - Data Platform Modernisation,ACC-10502,Fontaine Automotive Lda,Marco Rossi,Data & AI,Data Platform Modernisation,Closed Lost,0%,444000,EUR,2024-12-04,2025-09-18,2025-01-25,Not a Fit,Inbound - Website,2025-01-25,2025-01-25 17:00:00
OPP-1207,Helvetia Renewables - AI & GenAI Solutions,ACC-10374,Helvetia Renewables S.p.A.,Marco Rossi,DATA & AI,AI & GenAI Solutions,5 - Closed Won,100%,192500,EUR,2024-12-20,2025-06-22,2025-07-18,,Co-sell,2025-07-18,2025-07-18 23:18:23
OPP-1198,Harbour Motorenwerk - DevOps & Platform Engineering,ACC-10377,Harbour Motorenwerk Oy,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,Won,100,55000,EUR,2024-12-19,2025-03-06,2025-03-11,,Event / Webinar,2025-03-11,2025-03-11 17:00:00
OPP-1157,Borealis Clinics - Data Platform Modernisation,ACC-10397,Borealis Clinics B.V.,Emma de Vries,Data & AI,Data Platform Modernisation,closed lost,0,1 150 000,EUR,2024-12-09,2025-06-14,2025-01-19,Stalled,Event,2025-01-19,2025-01-19 17:59:15
OPP-1270,Castellan Precision - Cloud Migration,ACC-10186,Castellan Precision Sp. z o.o.,Tomáš Novák,Cloud & Infrastructure,Cloud Migration,Won,100,3064100,PLN,2024-12-31,2025-05-02,2025-04-10,,Existing Customer (Upsell),2025-04-10,2025-04-10 17:00:00
OPP-1258,Aurora Invest - AI & GenAI Solutions,ACC-10662,AURORA INVEST LTD,Niamh Walsh,Data & AI,AI & GenAI Solutions,Closed Lost,0,150800,GBP,2024-12-30,2025-05-07,2025-01-27,Stalled,Referral,2025-01-27,2025-01-27 21:05:55
OPP-1233,Castellan Telecom - DevOps & Platform Engineering,ACC-10071,Castellan Telecom AB,Freja Nielsen,Cloud and Infrastructure,DevOps & Platform Engineering,Closed Lost,0,585300,SEK,2024-12-25,2025-03-17,2025-01-09,Not a Fit,Partner Referral,2025-01-09,2025-01-09 17:00:00
OPP-1261,Solvik Consumer - Managed Cloud Services,ACC-10633,SOLVIK CONSUMER SAS,Chloé Martin,Cloud & Infrastructure,Managed Cloud Services,Closed - Lost,0,259 500,EUR,2024-12-30,2025-04-22,2025-02-10,Not a Fit,Existing Customer (Upsell),2025-02-10,2025-02-10 17:00:00
OPP-1156,Aurora Finance - Managed Cloud Services,ACC-10027,Aurora Finance Oyj,F. Nielsen,Cloud & Infrastructure,Managed Cloud Services,Lost,0,181 500,EUR,2024-12-09,2025-02-24,2024-12-22,No Budget,Inbound - Website,2024-12-22,2024-12-22 17:00:00
OPP-1165,Invicta Capital - Data Platform Modernisation,ACC-10636,Invicta Capital Ltd,Ethan Clarke,Data and AI,Data Platform Modernisation,2 - Solution Design,70%,"188,500.00",gbp,2024-12-12,2025-05-20,,,Partner,2025-01-23,2025-01-18 17:43:52
OPP-1217,Valora Transport - AI & GenAI Solutions,ACC-10436,Valora Transport N.V.,Emma de Vries,Data & AI,AI & GenAI Solutions,closed lost,0%,75500,EUR,2024-12-23,2025-05-01,2025-06-28,,Event,2025-06-28,2025-06-28 17:00:00
OPP-1119,Fontaine Industries - Data Platform Modernisation,ACC-10695,Fontaine Industries AB,Mikael Lindqvist  ,DATA & AI,Data Platform Modernisation,Closed Lost,0,3523700,SEK,2024-12-02,2025-05-04,2026-01-23,No Decision / Stalled,Partner Referral,2026-01-23,2026-01-23 17:00:00
OPP-1260,Castellan Components - DevOps & Platform Engineering,ACC-10710,Castellan Components S.L.,Mateo López,CLOUD,DevOps & Platform Engineering,Closed Lost,0,147000.00,,2024-12-30,2025-07-08,2025-03-20,Not qualified,Inbound - Website,2025-03-20,2025-03-20 21:30:31
