Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-2160,Riviera Grid - DevOps & Platform Engineering,ACC-10287,Riviera Grid AS,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,5 - Closed Won,100%,831300,NOK,2025-06-27,2025-10-07,2025-09-03,,Event / Webinar,2025-09-03,2025-09-03 17:00:00
OPP-2033,Hansa Clinics - Salesforce Implementation,ACC-10591,Hansa Clinics S.L.,Paolo Conti,ERP & Business Apps,Salesforce Implementation,Lost,0%,135500,EUR,2025-06-01,2026-01-06,2025-06-09,Not a Fit,Website,2025-06-09,2025-06-09 17:00:00
OPP-2090,Tamsin Finance - Identity & Access Management,ACC-10224,Tamsin Finance Ltd,Tom Barker,Cybersecurity,Identity & Access Management,Closed - Lost,0,17300,GBP,2025-06-11,2025-09-19,2025-09-18,No Decision / Stalled,Partner Referral,2025-09-18,2025-09-18 17:00:00
OPP-2137,Juniper Retail - Application Support,ACC-10197,Juniper Retail SA,Camille Bernard,ERP & Business Apps,Application Support,Closed Lost,0%,276500,EUR,2025-06-22,2025-09-28,2025-07-27,Not a Fit,Outbound - SDR,2025-07-27,2025-07-27 17:00:00
OPP-2102,Stellaris Biotech - Data Platform Modernisation,ACC-10478,Stellaris Biotech Ltd,Niamh Walsh,Data & AI,Data Platform Modernisation,closed lost,0%,"£494,800",GBP,2025-06-14,2025-10-08,2026-04-05,lost to competitor,Upsell,2026-04-05,2026-04-05 17:00:00
OPP-2029,Juniper Precision - Cloud Migration,ACC-10419,Juniper Precision Ltd,Oliver Hughes,CLOUD,Cloud Migration,Lost,0,"£123,000",GBP,2025-06-01,2025-09-09,2025-10-09,Price,Existing Customer (Upsell),2025-10-09,2025-10-09 17:00:00
OPP-2031,Meridian Broadcast - Salesforce Implementation,ACC-10067,Meridian Broadcast N.V.,Lena Fischer,ERP & Business Apps,Salesforce Implementation,closed lost,0,42000,EUR,2025-06-01,2025-09-05,2025-09-02,Competitor,Website,2025-09-02,2025-09-02 17:00:00
OPP-2181,Gallway Health - Data Platform Modernisation,ACC-10388,Gallway Health Ltd,Ethan Clarke,Data&AI,,closed lost,0,"568,000.00",EUR,2025-06-30,2025-11-20,2025-09-22,No Decision / Stalled,Outbound - SDR,2025-09-22,2025-09-22 17:00:00
OPP-2087,Marisol Automotive - Identity & Access Management,ACC-10053,Marisol Automotive Ltd,"Barker, Tom",Cybersecurity,,Closed Lost,0,250500,,2025-06-10,2025-09-02,2025-07-09,No Budget,Upsell,2025-07-09,2025-07-09 17:17:12
OPP-2169,Zephyr Transport - Analytics & BI,ACC-10301,ZEPHYR TRANSPORT LTD,Niamh Walsh,Data & AI,Analytics & BI,closed lost,0,73900,GBP,2025-06-29,2025-09-11,2025-08-05,No Decision / Stalled,Partner Referral,2025-08-05,2025-08-05 17:00:00
OPP-2101,Tauern Assurance - AI & GenAI Solutions,ACC-10124,Tauern Assurance S.A.,"Rossi, Marco",Data & AI,AI & GenAI Solutions,Closed Lost,0,132500,EUR,2025-06-13,2025-12-16,2026-07-12,No fit,Existing Customer (Upsell),2026-07-12,2026-07-12 17:00:00
OPP-2105,Lusitania Biotech - SAP S/4HANA Implementation,ACC-10207,Lusitania Biotech GmbH,Julia Hoffmann,ERP & Business Apps,SAP S/4HANA Implementation,Closed Won,100,525500,EUR,2025-06-14,2025-07-18,2026-02-02,,Partner Referral,2026-02-02,2026-02-02 22:18:09
OPP-2182,Lusitania Agency - Analytics & BI,ACC-10763,Lusitania Agency Ltd,niamh walsh,Data and AI,Analytics & BI,Lost,0,31400,GBP,2025-06-30,2025-12-10,2025-12-16,,Outbound - SDR,2025-12-16,2025-12-16 17:00:00
OPP-2146,Valora Renewables - Security Assessment,ACC-10483,Valora Renewables AB,sara andersson,Cybersecurity,Security Assessment,Closed Lost,0%,398000,SEK,2025-06-24,2025-09-19,2026-05-19,Timing,Inbound - Website,2026-05-19,2026-05-19 18:01:46
OPP-2060,Dunmore Automotive - Analytics & BI,ACC-10316,Dunmore Automotive Ltd,Niamh Walsh,Data & AI,Analytics & BI,Closed Lost,0,"38,900.00",GBP,2025-06-05,2025-10-25,2025-07-12,No Decision / Stalled,Existing Customer (Upsell),2025-07-12,2025-07-12 17:00:00
OPP-2056,Solvik Automotive - Identity & Access Management,ACC-10370,Solvik Automotive GmbH,Felix Wagner,Cybersecurity,Identity & Access Management,5 - Closed Won,100,50 500,EUR,04/06/2025,2025-12-25,2025-10-26,,Outbound - SDR,2025-10-26,2025-10-26 17:00:00
OPP-2062,Kestrel Industries - Data Platform Modernisation,ACC-10172,Kestrel Industries AB,Mikael Lindqvist,Data and AI,Data Platform Modernisation,Closed Won,100,1851600,SEK,2025-06-05,2025-09-23,,,Outbound - SDR,2026-06-06,2026-06-06 17:00:00
OPP-2088,Karlsson Automotive - Analytics & BI,ACC-10619,Karlsson Automotive Lda,Marco Rossi,Data & AI,Analytics & BI,Lost,0,135000,EUR,2025-06-11,2025-08-27,2025-06-30,No decision,Hyperscaler Co-sell,2025-06-30,2025-06-30 21:47:53
OPP-2170,Karlsson Connect - Managed Cloud Services,ACC-10031,Karlsson Connect B.V.,Pieter Janssens,Cloud & Infrastructure,Managed Cloud Services,Closed Lost,0,380000,,2025-06-29,2025-10-08,2025-09-07,No decision,Webinar,2025-09-07,2025-09-07 17:00:00
OPP-2097,Isola Mobility - Security Assessment,ACC-10726,Isola Mobility B.V.,Sara Andersson,Cyber Security,Security Assessment,Closed Won,100,36000,EUR,2025-06-13,2025-07-29,2026-06-07,,Inbound - Website,2026-06-07,2026-06-07 17:21:39
OPP-2134,Fjordline Motorenwerk - AI & GenAI Solutions,ACC-10211,Fjordline Motorenwerk Ltd,Ethan Clarke,Data & AI,AI & GenAI Solutions,Lost,0,"£116,000",GBP,2025-06-21,2025-10-20,2025-07-31,Not a Fit,Inbound - Website,2025-07-31,2025-07-31 17:00:00
OPP-2138,Fjordline Automotive - Cloud Migration,ACC-10658,Fjordline Automotive B.V.,Pieter Janssens,Cloud & Infrastructure,Cloud Migration,Closed Won,100,118000,EUR,2025-06-22,2025-10-21,2025-11-24,,Existing Customer,2025-11-24,2025-11-24 17:00:00
OPP-2048,Oakridge Invest - Security Assessment,ACC-10399,Oakridge Invest Sp. z o.o.,Jan Kowalski,Cyber Security,Security Assessment,Closed Won,100%,58200,PLN,2025-06-03,2025-10-02,2025-09-19,,Partner Referral,2025-09-19,2025-09-19 17:00:00
OPP-2080,Ysolde Motorenwerk - Cloud Migration,ACC-10346,Ysolde Motorenwerk ASA,Freja Nielsen,Cloud & Infrastructure,Cloud Migration,Closed Won,100,404500,€,2025-06-09,2025-08-16,2025-11-05,,Existing Customer (Upsell),2025-11-05,2025-11-05 23:16:16
OPP-2038,Corvina Industries - AI & GenAI Solutions,ACC-10544,CORVINA INDUSTRIES N.V.,Emma de Vries,Data & AI,AI & GenAI Solutions,Closed Lost,0%,186500.00,EUR,2025-06-02,2025-09-20,2025-12-08,Not a Fit,Existing Customer (Upsell),2025-12-08,2025-12-08 17:00:00
OPP-2174,Hansa Bank - Identity & Access Management,ACC-10555,Hansa Bank SA,David Moreau  ,Cybersecurity,Identity & Access Management,Closed Lost,0%,391000,EUR,2025-06-29,2025-11-19,2025-12-09,Timing / Postponed,Outbound - SDR,2025-12-09,2025-12-09 17:00:00
OPP-2045,Iberia Agency - SAP S/4HANA Implementation,ACC-10008,Iberia Agency S.A.,Paolo Conti,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0,453500,EUR,2025-06-03,2025-12-10,2025-07-28,no budget,Hyperscaler Co-sell,2025-07-28,2025-07-28 17:00:00
OPP-2183,Moselle Clinics - Analytics & BI,ACC-10199,Moselle Clinics SAS,Hugo Laurent,Data&AI,Analytics & BI,closed won,100,57000,eur,2025-06-30,2025-11-25,2026-03-11,,Outbound - SDR,2026-03-11,2026-03-11 19:52:42
OPP-2058,Novara Bank - SAP S/4HANA Implementation,ACC-10632,Novara Bank AB,Sven Johansson,ERP & Business Apps,SAP S/4HANA Implementation,5 - Closed Won,100,8865900,SEK,04/06/2025,2025-10-23,2025-10-01,,Existing Customer (Upsell),2025-10-01,2025-10-01 17:00:00
OPP-2085,Ysolde Precision - Data Platform Modernisation,ACC-10741,Ysolde Precision Sp. z o.o.,Katarzyna Nowak,Data & AI,Data Platform Modernisation,Lost,0,"PLN 381,300",PLN,2025-06-10,2025-11-18,2025-06-27,Not a Fit,SDR,2025-06-27,2025-06-27 17:00:00
OPP-2133,Alpenkraft Industries - Data Platform Modernisation,ACC-10484,Alpenkraft Industries Ltd,Ethan Clarke  ,Data & AI,Data Platform Modernisation,Closed Lost,0,41 600,GBP,2025-06-20,2025-10-13,2025-09-09,No Decision / Stalled,Event / Webinar,2025-09-09,2025-09-09 17:00:00
OPP-2042,Alpenkraft Capital - Data Platform Modernisation,ACC-10723,Alpenkraft Capital S.p.A.,Marco Rossi,Data & AI,Data Platform Modernisation,closed lost,0,195000,EUR,2025-06-02,2025-11-11,2026-01-03,Price,Upsell,2026-01-03,2026-01-03 17:00:00
OPP-2093,Oakridge Medical - Data Platform Modernisation,ACC-10310,Oakridge Medical N.V.,Emma de Vries,DATA & AI,Data Platform Modernisation,Won,100,111000,EUR,2025-06-12,2025-09-02,2025-09-25,,Webinar,2025-09-25,2025-09-25 17:00:00
OPP-2040,Rhein Components - Salesforce Implementation,ACC-10278,Rhein Components Lda,Paolo Conti,ERP & Business Apps,Salesforce Implementation,closed lost,0,219500,EUR,2025-06-02,2026-03-20,2025-09-14,Not a Fit,Event / Webinar,2025-09-14,2025-09-14 17:47:12
OPP-2162,Estrella Invest - Application Support,ACC-10088,Estrella Invest Ltd,Grace Thompson,ERP & Apps,Application Support,closed lost,0,29000,EUR,2025-06-27,2025-10-27,2026-04-04,Scope Reduced / In-house,AWS/Azure Co-sell,2026-04-04,2026-04-04 17:00:00
OPP-2141,Castellan Stores - Identity & Access Management,ACC-10394,Castellan Stores SE,Felix Wagner,Cybersecurity,Identity & Access Management,Closed Lost,0,179000,EUR,2025-06-23,2025-11-05,2025-07-10,no budget,Event,2025-07-10,2025-07-10 17:00:00
OPP-2110,Cygnus Assurance - DevOps & Platform Engineering,ACC-10266,Cygnus Assurance a.s.,Tomáš Novák,Cloud & Infrastructure,DevOps & Platform Engineering,Lost,0,1384600,CZK,2025-06-15,2025-09-20,2025-10-17,Competitor,Hyperscaler Co-sell,2025-10-17,2025-10-17 17:00:00
OPP-2071,Kronberg Logistics - DevOps & Platform Engineering,ACC-10651,Kronberg Logistics Ltd,Oliver Hughes,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Won,100,256700,GBP,2025-06-07,2025-12-22,2025-08-09,,Outbound - SDR,2025-08-09,2025-08-09 17:00:00
OPP-2148,Juniper Industries - Data Platform Modernisation,ACC-10557,Juniper Industries Sp. z o.o.,Katarzyna Nowak,Data & AI,Data Platform Modernisation,Closed Won,100%,1541200,PLN,2025-06-25,2025-10-27,2026-04-02,,Existing Customer (Upsell),2026-04-02,2026-04-02 20:25:06
OPP-2156,Westbrook Power - Data Platform Modernisation,ACC-10765,Westbrook Power SA,Hugo Laurent,Data&AI,Data Platform Modernisation,Closed Lost,0,101500,eur,2025-06-25,2025-11-20,2025-11-08,No Decision / Stalled,Existing Customer (Upsell),2025-11-08,2025-11-08 18:41:11
OPP-2074,Arcadia Renewables - Data Platform Modernisation,ACC-10625,ARCADIA RENEWABLES SA,Hugo Laurent,DATA & AI,Data Platform Modernisation,Closed Lost,0,180500,EUR,2025-06-07,2025-08-15,2025-11-07,Stalled,SDR,2025-11-07,2025-11-07 17:00:00
OPP-2173,Castellan Medical - Data Platform Modernisation,ACC-10572,Castellan Medical Sp. z o.o.,Katarzyna Nowak,Data & AI,Data Platform Modernisation,Closed Lost,0,1 928 600,PLN,2025-06-29,2025-11-25,2025-10-08,Stalled,Existing Customer,2025-10-08,2025-10-08 18:42:15
OPP-2136,Aurora Brands - Analytics & BI,ACC-10341,Aurora Brands S.r.l.,Marco Rossi,Data & AI,Analytics & BI,Won,100,67000,eur,2025-06-22,2025-11-07,2025-11-16,,Inbound - Website,2025-11-16,2025-11-16 19:08:05
OPP-2123,Bergmann Media - Managed SOC,ACC-10169,Bergmann Media plc,Tom Barker,Cybersecurity,Managed SOC,Won,100,77000,GBP,2025-06-19,2025-09-07,2025-09-23,,Event / Webinar,2025-09-23,2025-09-23 17:00:00
OPP-2155,Brightwater Power - DevOps & Platform Engineering,ACC-10401,Brightwater Power ApS,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,closed won,100,813800,DKK,2025-06-25,2025-09-05,2025-11-01,,Hyperscaler Co-sell,2025-11-01,2025-11-01 17:00:00
OPP-2076,Lindholm Bank - Identity & Access Management,ACC-10482,Lindholm Bank AB,Sara Andersson,Cybersecurity,Identity & Access Management,Closed Won,100%,1199800,SEK,2025-06-08,20/09/2025,2025-09-21,,Inbound,2025-09-21,2025-09-21 17:00:00
OPP-2030,Fjordline Connect - Security Assessment,ACC-10416,FJORDLINE CONNECT SAS,David Moreau,Cybersecurity,Security Assessment,Closed Lost,0,11500.00,EUR,2025-06-01,2025-08-22,2025-07-03,No Decision / Stalled,Existing Customer (Upsell),2025-07-03,2025-07-03 17:00:00
OPP-2117,Wexford Clinics - Salesforce Implementation,ACC-10582,Wexford Clinics SE,Julia Hoffmann,ERP & Business Apps,Salesforce Implementation,Closed Won,100,382500,EUR,2025-06-17,2025-12-26,2025-09-30,,Outbound - SDR,2025-09-30,2025-09-30 17:00:00
OPP-2151,Harbour Automotive - AI & GenAI Solutions,ACC-10353,Harbour Automotive S.L.,Marco Rossi,Data & AI,AI & GenAI Solutions,Closed - Lost,0,270500,EUR,2025-06-25,2025-11-28,2025-11-18,Scope Reduced / In-house,Website,2025-11-18,2025-11-18 19:24:47
OPP-2180,Gallway Agency - Analytics & BI,ACC-10003,GALLWAY AGENCY SA,Hugo Laurent,Data & AI,Analytics & BI,Closed Lost,0%,41000,EUR,2025-06-30,2026-02-25,2026-06-09,Lost to Competitor,Partner,2026-06-09,2026-06-09 17:00:00
OPP-2167,Meridian Components - Salesforce Implementation,ACC-10759,MERIDIAN COMPONENTS AG,Lena Fischer,ERP and Business Applications,Salesforce Implementation,closed lost,0,209100.00,CHF,2025-06-28,2025-10-17,2025-09-01,Timing / Postponed,Website,2025-09-01,2025-09-01 17:00:00
OPP-2072,Novara Industries - Managed Cloud Services,ACC-10342,Novara Industries S.A.,Tomáš Novák,Cloud & Infrastructure,Managed Cloud Services,closed lost,0,971300,PLN,2025-06-07,2025-10-03,2025-06-25,Stalled,Existing Customer (Upsell),2025-06-25,2025-06-25 17:00:00
OPP-2082,Fontaine Precision - Managed Cloud Services,ACC-10005,Fontaine Precision Oyj,Freja Nielsen,Cloud & Infrastructure,Managed Cloud Services,closed lost,0%,229000,EUR,2025-06-09,2025-09-16,2025-07-25,Not qualified,Website,2025-07-25,2025-07-25 17:00:00
OPP-2150,Riviera Bank - DevOps & Platform Engineering,ACC-10069,Riviera Bank AB,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,closed lost,0,"565,300.00",SEK,25/06/2025,2025-10-07,2025-07-07,No decision,Event / Webinar,2025-07-07,2025-07-07 17:00:00
OPP-2037,Dunmore Medical - AI & GenAI Solutions,ACC-10024,Dunmore Medical Ltd,Niamh Walsh,Data & AI,AI & GenAI Solutions,Won,100,418700,GBP,2025-06-02,2025-10-19,2025-12-22,,Existing Customer,2025-12-22,2025-12-22 17:00:00
OPP-2106,Corvina Finance - Salesforce Implementation,ACC-10093,Corvina Finance Oyj,Sven Johansson,ERP & Business Apps,Salesforce Implementation,Closed Lost,0%,205500,EUR,2025-06-14,2025-10-08,2025-07-07,No Budget,Partner Referral,2025-07-07,2025-07-07 17:00:00
OPP-2171,Helvetia Renewables - Application Support,ACC-10374,Helvetia Renewables S.p.A.,paolo conti,ERP & Business Apps,Application Support,Lost,0,100000,EUR,2025-06-29,2026-02-11,2025-07-13,No Decision / Stalled,Inbound,2025-07-13,2025-07-13 22:10:15
OPP-2165,Lindholm Assurance - SAP S/4HANA Implementation,ACC-10029,Lindholm Assurance plc,Grace Thompson,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0,1008600,GBP,2025-06-27,2025-10-12,2025-10-13,No Budget,Website,2025-10-13,2025-10-13 17:00:00
OPP-2039,Invicta Consumer - Managed SOC,ACC-10054,Invicta Consumer Ltd,tom barker,cybersecurity,Managed SOC,Closed - Lost,0%,"218,000.00",EUR,2025-06-02,2025-10-02,2025-07-09,No Budget,Outbound,2025-07-09,2025-07-09 17:00:00
OPP-2034,Gallway Health - DevOps & Platform Engineering,ACC-10388,GALLWAY HEALTH LTD,Oliver Hughes,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0%,"113,500.00",EUR,2025-06-01,2025-11-29,2025-10-16,Timing / Postponed,AWS/Azure Co-sell,2025-10-16,2025-10-16 17:00:00
OPP-2145,Karlsson Medical - AI & GenAI Solutions,ACC-10160,Karlsson Medical plc,"Walsh, Niamh",Data&AI,AI & GenAI Solutions,closed lost,0,162900,GBP,2025-06-24,2025-10-12,2025-07-26,Not qualified,Hyperscaler Co-sell,2025-07-26,2025-07-26 20:16:39
OPP-2164,Rhein Stores - Identity & Access Management,ACC-10334,RHEIN STORES DAC,Tom Barker,Cybersecurity,Identity & Access Management,closed won,,"€29,000",EUR,2025-06-27,2025-10-05,2025-12-03,,Existing Customer (Upsell),2025-12-03,2025-12-03 17:00:00
OPP-2073,Borealis Invest - Cloud Migration,ACC-10569,Borealis Invest SAS,Chloé Martin,Cloud & Infrastructure,Cloud Migration,Closed Lost,,190000,EUR,2025-06-07,2025-09-27,2025-08-23,Budget,Hyperscaler Co-sell,2025-08-23,2025-08-23 17:00:00
OPP-2135,Kronberg Assurance - AI & GenAI Solutions,ACC-10552,Kronberg Assurance plc,Niamh Walsh,Data & AI,AI & GenAI Solutions,Closed Lost,0,120400,GBP,2025-06-21,2025-11-06,2025-12-11,Lost to Competitor,Outbound,2025-12-11,2025-12-11 17:00:00
OPP-2178,Harbour Motorenwerk - DevOps & Platform Engineering,ACC-10377,Harbour Motorenwerk Oy,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,Lost,0,51000,,2025-06-30,2025-09-24,2025-07-30,No Budget,Upsell,2025-07-30,2025-07-30 17:00:00
OPP-2064,Polaris Consumer - Identity & Access Management,ACC-10237,Polaris Consumer GmbH,Felix Wagner,Cybersecurity,Identity & Access Management,Closed Won,100,273000,EUR,2025-06-05,2025-10-15,2025-09-18,,Existing Customer,2025-09-18,2025-09-18 17:00:00
OPP-2035,Invicta Agency - Security Assessment,ACC-10352,Invicta Agency Oyj,Sara Andersson,Cybersecurity,Security Assessment,Closed Lost,0%,31000,EUR,2025-06-01,2025-09-13,2025-08-07,,Existing Customer (Upsell),2025-08-07,2025-08-07 18:16:42
OPP-2158,Jadeport Clinics - Managed SOC,ACC-10326,Jadeport Clinics S.r.l.,Isabel Ferreira,Cybersecurity,Managed SOC,Lost,0,797000,EUR,2025-06-26,2026-02-20,2025-08-30,Scope Reduced / In-house,Outbound - SDR,2025-08-30,2025-08-30 18:01:31
OPP-2061,Noord Health - Managed Cloud Services,ACC-10605,Noord Health N.V.,Pieter Janssens,Cloud & Infrastructure,Managed Cloud Services,Lost,0,295500,EUR,2025-06-05,2025-12-14,2025-09-15,No Decision / Stalled,Outbound,2025-09-15,2025-09-15 19:57:45
OPP-2175,Oakridge Invest - Cloud Migration,ACC-10399,Oakridge Invest Sp. z o.o.,Tomáš Novák,Cloud & Infra,Cloud Migration,Closed Lost,0%,684 300,PLN,2025-06-29,2025-12-18,2025-10-22,Timing / Postponed,Partner,2025-10-22,2025-10-22 17:00:00
OPP-2084,Noord Retail - Managed SOC,ACC-10656,Noord Retail Ltd,Tom Barker,Cybersecurity,Managed SOC,Closed Won,100%,205300,GBP,2025-06-10,2025-09-05,2025-07-29,,Hyperscaler Co-sell,2025-07-29,2025-07-29 17:00:00
OPP-2157,Polaris Finance - Application Support,ACC-10671,Polaris Finance GmbH,julia hoffmann,ERP & Business Apps,,Closed - Lost,,"€142,000",eur,2025-06-26,2025-10-19,2025-08-05,No Budget,Partner Referral,2025-08-05,2025-08-05 17:00:00
OPP-2042,Alpenkraft Capital - Data Platform Modernisation,ACC-10723,Alpenkraft Capital S.p.A.,Marco Rossi,Data & AI,Data Platform Modernisation,closed lost,0,195000,EUR,2025-06-02,2025-11-11,2026-01-03,Price,Upsell,2026-01-03,2026-01-03 17:00:00
OPP-2142,Meridian Clinics - Application Support,ACC-10496,Meridian Clinics ASA,Sven Johansson,ERP & Business Apps,Application Support,Closed Lost,0,2311900,NOK,2025-06-23,2025-09-09,2025-06-27,,Event / Webinar,2025-06-27,2025-06-27 19:01:52
OPP-2099,Vistula Consumer - SAP S/4HANA Implementation,ACC-10299,Vistula Consumer plc,grace thompson,ERP & Business Apps,SAP S/4HANA Implementation,closed lost,0,1651000,EUR,13/06/2025,2025-07-17,2025-10-12,Too expensive,Upsell,2025-10-12,2025-10-12 18:25:38
OPP-2107,Riviera Renewables - DevOps & Platform Engineering,ACC-10627,Riviera Renewables AB,Freja Nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Won,100%,2855300,SEK,2025-06-15,2025-09-02,2025-12-04,,Partner Referral,2025-12-04,2025-12-04 17:00:00
OPP-2065,Gallway Connect - Managed Cloud Services,ACC-10525,Gallway Connect A/S,Freja Nielsen,Cloud & Infra,Managed Cloud Services,closed lost,0%,"DKK 1,070,900",DKK,2025-06-06,2025-10-04,2025-08-05,No Budget,Inbound - Website,2025-08-05,2025-08-05 17:00:00
OPP-2108,Iberia Power - Analytics & BI,ACC-10076,Iberia Power SA,Hugo Laurent,Data & AI,Analytics & BI,closed won,100,64500,EUR,2025-06-15,2025-11-22,,,Existing Customer (Upsell),2025-10-04,2025-10-04 20:06:30
OPP-2050,Olympia Networks - Application Support,ACC-10646,Olympia Networks AG,Lena Fischer,ERP & Business Apps,Application Support,Closed Lost,0,83 000,,2025-06-03,2025-10-15,2025-08-02,Postponed,Hyperscaler Co-sell,2025-08-02,2025-08-02 17:00:00
