Month,Currency,EUR per 1 unit
2026-04,DKK,0.13135
2026-05,DKK,0.13342
2026-06,DKK,0.13329
2026-07,DKK,0.13542
2026-08,DKK,0.13427
2026-09,DKK,0.13239
2024-04,NOK,0.08471
2024-05,NOK,0.08403
2024-06,NOK,0.08357
2024-07,NOK,0.08245
2024-08,NOK,0.08328
2024-09,NOK,0.08019
2024-10,NOK,0.08073
2024-11,NOK,0.08042
2024-12,NOK,0.08195
2025-01,NOK,0.08179
2025-02,NOK,0.08163
2025-03,NOK,0.08267
2025-04,NOK,0.08162
2025-05,NOK,0.08155
2025-06,NOK,0.0824
2025-07,NOK,0.08254
2025-08,NOK,0.08364
2025-09,NOK,0.08301
2025-10,NOK,0.08238
2025-11,NOK,0.08311
2025-12,NOK,0.08229
2026-01,NOK,0.08157
2026-02,NOK,0.08154
2026-03,NOK,0.08199
2026-04,NOK,0.08291
2026-05,NOK,0.08286
2026-06,NOK,0.08341
2026-07,NOK,0.08493
2026-08,NOK,0.0859
2026-09,NOK,0.08567
2024-04,PLN,0.23327
2024-05,PLN,0.23841
2024-06,PLN,0.24039
2024-07,PLN,0.23988
2024-08,PLN,0.24581
2024-09,PLN,0.24984
2024-10,PLN,0.25351
2024-11,PLN,0.25242
2024-12,PLN,0.24999
2025-01,PLN,0.25371
2025-02,PLN,0.25132
2025-03,PLN,0.24666
2025-04,PLN,0.24854
2025-05,PLN,0.25339
2025-06,PLN,0.24915
2025-07,PLN,0.25402
2025-08,PLN,0.25174
2025-09,PLN,0.2531
2025-10,PLN,0.25668
2025-11,PLN,0.25656
2025-12,PLN,0.25871
2026-01,PLN,0.25776
2026-02,PLN,0.2609
2026-03,PLN,0.26555
2026-04,PLN,0.26485
2026-05,PLN,0.26296
2026-06,PLN,0.2615
2026-07,PLN,0.26302
2026-08,PLN,0.25948
2026-09,PLN,0.2613
2024-04,CZK,0.04008
2024-05,CZK,0.04027
2024-06,CZK,0.04028
2024-07,CZK,0.04063
2024-08,CZK,0.0402
2024-09,CZK,0.03894
2024-10,CZK,0.03926
2024-11,CZK,0.03865
2024-12,CZK,0.03875
2025-01,CZK,0.03824
2025-02,CZK,0.03866
2025-03,CZK,0.03833
2025-04,CZK,0.03799
2025-05,CZK,0.03836
2025-06,CZK,0.03864
2025-07,CZK,0.03896
2025-08,CZK,0.03849
2025-09,CZK,0.038
2025-10,CZK,0.0383
2025-11,CZK,0.03816
2025-12,CZK,0.03761
2026-01,CZK,0.03767
2026-02,CZK,0.03878
2026-03,CZK,0.03859
2026-04,CZK,0.0382
2026-05,CZK,0.03796
2026-06,CZK,0.03761
2026-07,CZK,0.03808
2026-08,CZK,0.03887
2026-09,CZK,0.0391
